Brand,Processor,RAM (GB),Storage (GB),GPU,Screen Size (inches),Battery Life (hours),Price (INR)
Apple,Ryzen 9,32,1024,RTX 4060,15.6,5,214000
HP,Intel i5,8,512,RTX 3050,15.6,5,86000
Acer,Ryzen 9,8,256,RTX 4090,14.0,6,136000
HP,Ryzen 9,4,256,RTX 4070,17.0,4,118000
Asus,Intel i5,32,256,RTX 4090,14.0,5,149000
Apple,Intel i7,4,1024,Integrated,15.6,12,113000
MSI,Intel i5,4,512,RTX 4060,15.6,4,83000
MSI,Intel i9,32,512,RTX 4070,16.0,4,179000
Acer,Intel i7,32,1024,Integrated,17.0,6,139000
Lenovo,Intel i5,32,1024,RTX 3050,16.0,8,144000
HP,Ryzen 3,4,2048,RTX 3050,14.0,7,93000
Acer,Ryzen 5,4,1024,RTX 4080,15.6,6,103000
Asus,Intel i5,32,256,RTX 4090,14.0,6,149000
Dell,Ryzen 5,4,1024,GTX 1650,17.0,7,83000
Lenovo,Ryzen 9,16,1024,RTX 3050,16.0,5,147000
Apple,Ryzen 3,4,2048,RTX 4060,15.6,4,128000
Acer,Ryzen 3,4,256,RTX 4060,14.0,12,63000
Dell,Intel i3,4,256,RTX 4080,14.0,7,73000
Asus,Intel i5,32,2048,RTX 3050,15.6,9,164000
MSI,Intel i5,32,2048,RTX 4060,13.0,5,169000
Acer,Intel i9,16,1024,RTX 4070,15.6,9,157000
HP,Ryzen 9,8,256,RTX 3050,16.0,10,116000
Asus,Intel i3,32,256,RTX 4080,16.0,12,129000
Apple,Intel i9,16,256,GTX 1650,16.0,9,157000
HP,Ryzen 7,32,256,RTX 3050,16.0,11,144000
HP,Ryzen 9,32,1024,RTX 4070,14.0,10,189000
Asus,Intel i9,16,1024,RTX 4080,16.0,11,162000
Lenovo,Ryzen 5,8,2048,RTX 4060,13.0,8,121000
Asus,Ryzen 7,8,2048,Integrated,15.6,11,111000
Apple,Intel i9,8,256,RTX 4080,14.0,11,161000
Lenovo,Intel i3,32,2048,RTX 4070,14.0,9,159000
Dell,Ryzen 7,4,2048,RTX 4080,15.6,9,138000
MSI,Intel i7,16,2048,RTX 4070,17.0,7,157000
Apple,Ryzen 3,8,1024,RTX 4060,14.0,8,116000
MSI,Ryzen 3,8,1024,RTX 4060,15.6,11,86000
Acer,Ryzen 5,8,1024,RTX 4060,16.0,6,101000
HP,Ryzen 9,8,1024,Integrated,15.6,12,111000
Acer,Intel i3,16,512,RTX 4070,17.0,10,97000
Asus,Intel i5,16,2048,RTX 3050,16.0,12,132000
Acer,Ryzen 7,32,1024,Integrated,15.6,7,139000
HP,Ryzen 7,32,1024,RTX 4060,17.0,11,164000
HP,Intel i5,4,2048,RTX 4070,15.6,10,118000
Lenovo,Intel i3,4,1024,GTX 1650,17.0,12,68000
Dell,Intel i3,32,256,GTX 1650,16.0,7,109000
Apple,Intel i3,4,1024,GTX 1650,14.0,9,98000
HP,Ryzen 9,16,2048,RTX 4070,17.0,10,177000
Dell,Intel i9,16,512,RTX 3050,16.0,11,137000
MSI,Ryzen 5,8,512,RTX 3050,13.0,11,86000
Dell,Intel i5,32,512,Integrated,16.0,4,114000
Acer,Intel i9,8,2048,RTX 4090,14.0,4,171000
MSI,Ryzen 3,8,512,RTX 3050,16.0,10,71000
Dell,Intel i3,32,1024,RTX 4060,14.0,6,134000
Apple,Intel i7,32,1024,RTX 4090,16.0,6,209000
HP,Intel i5,16,1024,RTX 4070,16.0,6,122000
Lenovo,Intel i3,16,512,RTX 4060,13.0,5,92000
Dell,Intel i9,8,2048,RTX 4060,15.6,10,156000
Lenovo,Intel i9,4,512,RTX 4070,16.0,10,123000
Lenovo,Ryzen 7,32,1024,RTX 4060,14.0,6,164000
MSI,Ryzen 9,4,512,RTX 3050,13.0,11,113000
Acer,Intel i7,32,512,GTX 1650,17.0,10,144000
HP,Intel i9,8,1024,GTX 1650,13.0,6,126000
HP,Ryzen 9,4,256,RTX 4090,17.0,7,128000
Acer,Ryzen 9,16,1024,RTX 4060,15.6,12,152000
Asus,Intel i9,8,256,RTX 4060,17.0,5,121000
MSI,Ryzen 7,32,512,RTX 3050,17.0,11,149000
HP,Intel i9,4,512,RTX 4070,13.0,5,123000
MSI,Intel i3,32,2048,RTX 4080,15.6,10,164000
Acer,Intel i9,4,512,RTX 3050,13.0,7,113000
Asus,Intel i5,4,256,Integrated,14.0,10,53000
HP,Ryzen 9,32,1024,RTX 4080,15.6,5,194000
Lenovo,Ryzen 5,8,1024,RTX 3050,13.0,8,96000
HP,Ryzen 9,16,1024,RTX 4080,16.0,7,162000
Asus,Ryzen 9,4,256,RTX 4060,13.0,7,113000
Asus,Intel i5,32,2048,RTX 3050,13.0,5,164000
HP,Ryzen 9,32,512,GTX 1650,13.0,6,164000
Dell,Intel i9,32,256,RTX 4090,13.0,8,184000
Apple,Intel i3,32,1024,RTX 4060,13.0,11,164000
HP,Intel i3,32,256,RTX 3050,16.0,7,114000
Acer,Ryzen 9,4,1024,RTX 4080,13.0,9,138000
Dell,Intel i9,32,1024,RTX 4090,17.0,8,199000
Lenovo,Ryzen 3,4,2048,RTX 4090,16.0,9,113000
Lenovo,Intel i7,32,512,RTX 4060,16.0,5,154000
Acer,Intel i3,32,1024,RTX 4070,14.0,5,139000
MSI,Intel i5,4,1024,RTX 4060,16.0,5,93000
Asus,Ryzen 9,32,256,RTX 4090,17.0,7,184000
HP,Intel i5,4,1024,GTX 1650,17.0,10,83000
Lenovo,Intel i3,16,256,RTX 4070,13.0,6,92000
MSI,Intel i9,8,2048,RTX 4090,16.0,5,171000
MSI,Ryzen 7,8,256,RTX 4080,17.0,7,111000
Asus,Intel i7,32,1024,RTX 4090,14.0,9,179000
Dell,Ryzen 7,16,256,Integrated,13.0,8,92000
Lenovo,Ryzen 5,8,2048,GTX 1650,15.6,8,111000
Asus,Ryzen 3,16,256,RTX 4060,13.0,10,87000
Apple,Intel i9,8,1024,RTX 4090,16.0,6,181000
MSI,Intel i9,4,2048,RTX 4060,13.0,11,148000
MSI,Intel i5,8,512,RTX 4070,15.6,10,96000
MSI,Ryzen 9,32,1024,RTX 4070,14.0,11,189000
MSI,Intel i3,4,1024,RTX 4060,14.0,10,78000
Apple,Intel i7,8,1024,RTX 4060,16.0,5,146000
MSI,Intel i9,4,512,RTX 3050,17.0,10,113000
Apple,Intel i5,8,2048,Integrated,17.0,7,126000
Apple,Intel i3,8,1024,RTX 4070,15.6,12,121000
Apple,Intel i3,8,256,Integrated,15.6,6,76000
Apple,Ryzen 5,16,1024,RTX 4070,14.0,6,152000
Asus,Ryzen 5,4,1024,GTX 1650,15.6,12,83000
Lenovo,Intel i5,16,512,Integrated,14.0,4,82000
Acer,Ryzen 7,4,2048,RTX 4060,14.0,9,128000
Apple,Intel i9,16,256,Integrated,17.0,5,142000
MSI,Ryzen 3,8,512,RTX 4070,13.0,10,81000
Acer,Intel i5,4,2048,RTX 4060,15.6,9,113000
Acer,Intel i3,16,512,Integrated,13.0,11,67000
Dell,Ryzen 3,16,256,RTX 4060,13.0,8,87000
Acer,Intel i7,16,2048,RTX 4090,13.0,5,167000
Asus,Intel i5,32,1024,RTX 4060,15.6,8,149000
MSI,Intel i9,8,1024,RTX 4090,17.0,12,151000
Asus,Ryzen 7,4,512,GTX 1650,14.0,8,88000
HP,Intel i5,8,1024,RTX 4070,14.0,6,106000
Dell,Ryzen 5,16,1024,RTX 4070,16.0,4,122000
Dell,Ryzen 9,8,512,RTX 4080,17.0,4,136000
Acer,Intel i7,4,2048,RTX 4070,14.0,8,133000
Lenovo,Ryzen 5,4,1024,Integrated,16.0,5,68000
Acer,Ryzen 7,8,512,RTX 4070,16.0,7,111000
Acer,Ryzen 5,32,256,RTX 4060,16.0,5,134000
Acer,Intel i5,8,256,RTX 4090,17.0,6,101000
Dell,Intel i5,8,256,Integrated,13.0,8,61000
HP,Ryzen 7,4,2048,Integrated,16.0,8,103000
Lenovo,Intel i5,16,512,RTX 4070,16.0,8,112000
Apple,Intel i9,32,512,RTX 4090,13.0,10,219000
MSI,Intel i9,4,2048,RTX 4060,13.0,11,148000
Acer,Ryzen 7,16,256,RTX 3050,13.0,4,112000
Apple,Ryzen 5,4,256,Integrated,16.0,11,83000
HP,Ryzen 3,4,512,RTX 4090,16.0,10,83000
MSI,Intel i7,8,256,RTX 4090,15.6,5,116000
Lenovo,Intel i9,8,256,RTX 4060,13.0,5,121000
Dell,Intel i9,16,2048,RTX 3050,14.0,9,167000
MSI,Intel i3,16,1024,RTX 4080,15.6,5,112000
Acer,Ryzen 9,16,2048,RTX 4090,14.0,7,187000
Dell,Ryzen 7,16,512,RTX 4090,15.6,6,137000
HP,Ryzen 5,32,512,Integrated,14.0,7,114000
MSI,Ryzen 3,32,512,RTX 4090,13.0,8,139000
Asus,Intel i3,16,512,Integrated,13.0,8,67000
Apple,Ryzen 3,16,256,RTX 4060,13.0,6,117000
Apple,Ryzen 7,4,256,RTX 4060,15.6,11,123000
MSI,Intel i3,32,256,Integrated,14.0,11,94000
HP,Intel i9,8,2048,Integrated,13.0,4,131000
MSI,Intel i3,4,1024,RTX 4070,15.6,9,83000
HP,Intel i5,32,2048,RTX 4070,15.6,5,174000
Apple,Ryzen 9,32,2048,Integrated,16.0,7,209000
Acer,Ryzen 3,32,2048,GTX 1650,14.0,10,144000
Dell,Ryzen 3,32,2048,RTX 4070,17.0,12,159000
Dell,Ryzen 3,16,512,RTX 3050,17.0,4,87000
Acer,Ryzen 5,32,512,GTX 1650,14.0,12,129000
Lenovo,Intel i5,16,1024,RTX 4080,13.0,6,127000
MSI,Ryzen 7,32,256,RTX 4080,16.0,10,159000
HP,Intel i9,4,256,RTX 4060,16.0,10,113000
Asus,Intel i7,32,256,RTX 4070,15.6,5,154000
MSI,Intel i7,8,256,RTX 3050,17.0,6,96000
Lenovo,Ryzen 3,8,1024,RTX 4080,16.0,12,96000
HP,Ryzen 7,8,512,GTX 1650,14.0,9,96000
Apple,Ryzen 9,8,2048,RTX 4080,14.0,9,196000
Acer,Ryzen 3,32,256,RTX 4070,13.0,5,124000
HP,Intel i3,16,2048,RTX 4070,16.0,10,127000
Lenovo,Ryzen 3,16,256,Integrated,16.0,11,62000
Apple,Ryzen 9,32,512,RTX 4080,17.0,8,214000
Apple,Ryzen 9,8,512,RTX 4070,14.0,5,161000
HP,Ryzen 9,16,256,GTX 1650,15.6,11,127000
HP,Intel i7,4,512,Integrated,15.6,12,73000
Dell,Intel i7,4,512,RTX 4070,13.0,8,103000
Acer,Intel i3,16,1024,RTX 3050,15.6,10,97000
Acer,Intel i3,8,2048,GTX 1650,17.0,11,96000
Acer,Ryzen 3,4,256,Integrated,15.6,5,38000
HP,Ryzen 5,32,256,RTX 4060,14.0,6,134000
Asus,Ryzen 3,16,1024,RTX 3050,13.0,9,97000
Acer,Ryzen 5,16,2048,RTX 4080,14.0,4,147000
Lenovo,Intel i9,4,2048,RTX 4090,14.0,12,163000
HP,Ryzen 5,32,256,RTX 4090,14.0,9,149000
Asus,Intel i9,4,1024,GTX 1650,13.0,12,118000
Lenovo,Ryzen 9,16,1024,RTX 4090,17.0,8,167000
Dell,Ryzen 5,4,1024,Integrated,14.0,11,68000
Lenovo,Ryzen 9,8,256,RTX 4060,14.0,6,121000
Lenovo,Ryzen 9,8,512,RTX 4090,16.0,10,141000
Lenovo,Intel i7,8,2048,RTX 3050,15.6,6,131000
Asus,Ryzen 5,4,256,RTX 4070,16.0,7,83000
Dell,Ryzen 5,32,2048,RTX 4090,14.0,4,184000
Asus,Ryzen 3,32,2048,GTX 1650,16.0,10,144000
HP,Ryzen 7,16,256,RTX 4070,14.0,4,122000
HP,Intel i9,16,512,RTX 3050,15.6,8,137000
HP,Ryzen 3,16,1024,RTX 3050,16.0,12,97000
Apple,Ryzen 7,32,512,RTX 4090,16.0,9,199000
Lenovo,Intel i9,32,512,RTX 3050,16.0,6,169000
Apple,Intel i7,8,2048,GTX 1650,13.0,9,156000
HP,Ryzen 9,8,2048,RTX 4060,16.0,11,156000
HP,Ryzen 3,16,256,RTX 4060,15.6,12,87000
Asus,Ryzen 7,16,256,Integrated,14.0,11,92000
Lenovo,Ryzen 7,4,256,RTX 4060,15.6,6,93000
MSI,Ryzen 3,4,1024,GTX 1650,14.0,9,68000
Apple,Intel i7,4,256,RTX 3050,13.0,8,118000
MSI,Intel i7,8,512,RTX 4060,17.0,4,106000
Apple,Intel i3,8,2048,RTX 4080,16.0,10,146000
Lenovo,Intel i5,32,2048,RTX 4060,16.0,11,169000
Lenovo,Intel i9,8,2048,RTX 4070,15.6,6,161000
Apple,Intel i9,32,2048,RTX 4060,17.0,5,234000
Acer,Intel i3,16,2048,Integrated,17.0,11,97000
Dell,Intel i7,4,256,RTX 4090,16.0,4,108000
Acer,Ryzen 5,32,1024,Integrated,15.6,6,124000
Lenovo,Ryzen 7,8,1024,RTX 4070,16.0,11,121000
Apple,Ryzen 7,16,1024,GTX 1650,17.0,7,152000
HP,Ryzen 5,16,2048,RTX 4070,14.0,6,142000
Apple,Intel i9,16,2048,RTX 4070,15.6,11,207000
Asus,Ryzen 5,16,2048,GTX 1650,13.0,5,127000
HP,Ryzen 7,8,256,Integrated,13.0,8,76000
Dell,Ryzen 3,8,256,Integrated,13.0,6,46000
Acer,Intel i7,8,2048,Integrated,14.0,10,111000
HP,Ryzen 3,32,512,Integrated,15.6,9,99000
HP,Intel i5,8,512,RTX 4090,16.0,6,106000
HP,Intel i3,8,1024,RTX 4060,14.0,6,86000
Apple,Intel i9,32,2048,RTX 4060,15.6,11,234000
Dell,Intel i9,32,512,GTX 1650,16.0,7,164000
HP,Intel i7,8,1024,RTX 4080,13.0,8,126000
HP,Intel i5,32,1024,RTX 4060,15.6,12,149000
Acer,Ryzen 7,16,512,GTX 1650,16.0,9,112000
HP,Ryzen 7,4,256,GTX 1650,14.0,5,83000
MSI,Ryzen 5,8,1024,RTX 4090,16.0,7,116000
Dell,Intel i9,32,2048,RTX 3050,14.0,10,199000
MSI,Intel i5,4,1024,GTX 1650,17.0,9,83000
Dell,Intel i7,32,1024,RTX 4060,16.0,8,164000
Asus,Intel i7,8,512,GTX 1650,13.0,6,96000
Apple,Ryzen 7,8,512,RTX 4070,14.0,9,141000
Apple,Ryzen 3,4,512,GTX 1650,16.0,8,88000
Lenovo,Intel i5,4,2048,RTX 4080,17.0,6,123000
Dell,Ryzen 3,8,512,RTX 4090,13.0,6,91000
Dell,Ryzen 3,4,2048,RTX 4090,15.6,11,113000
HP,Ryzen 7,32,1024,RTX 4070,13.0,8,169000
MSI,Ryzen 5,4,2048,GTX 1650,13.0,11,103000
Acer,Ryzen 5,4,256,Integrated,16.0,10,53000
Acer,Ryzen 5,8,512,RTX 3050,15.6,11,86000
Dell,Ryzen 9,8,256,RTX 4090,14.0,11,136000
Acer,Intel i3,4,2048,Integrated,13.0,10,73000
Dell,Ryzen 7,16,2048,Integrated,14.0,8,127000
HP,Ryzen 5,16,256,Integrated,15.6,9,77000
Acer,Intel i9,32,512,RTX 3050,15.6,10,169000
Apple,Intel i3,8,1024,RTX 4080,13.0,7,126000
Lenovo,Intel i5,8,1024,GTX 1650,16.0,10,91000
Dell,Ryzen 5,4,2048,RTX 4060,17.0,6,113000
Lenovo,Intel i7,32,256,RTX 4070,17.0,6,154000
Asus,Ryzen 7,4,1024,GTX 1650,14.0,10,98000
Apple,Ryzen 5,32,512,RTX 4060,13.0,8,169000
Lenovo,Ryzen 3,4,2048,RTX 4090,15.6,6,113000
MSI,Intel i7,32,256,GTX 1650,16.0,12,139000
Acer,Intel i7,8,512,RTX 3050,17.0,8,101000
MSI,Intel i3,4,512,RTX 3050,14.0,11,63000
Dell,Intel i9,8,512,GTX 1650,15.6,6,116000
Apple,Ryzen 9,8,2048,RTX 4090,13.0,4,201000
Lenovo,Intel i9,8,2048,Integrated,16.0,9,131000
Dell,Intel i9,4,256,RTX 4070,13.0,11,118000
HP,Ryzen 3,16,1024,RTX 4090,15.6,12,117000
Asus,Intel i3,32,2048,RTX 3050,14.0,4,149000
Apple,Intel i7,4,256,Integrated,16.0,6,98000
MSI,Ryzen 7,8,1024,RTX 4080,14.0,9,126000
Acer,Intel i7,16,2048,GTX 1650,14.0,7,142000
MSI,Ryzen 9,16,1024,RTX 4060,13.0,5,152000
Dell,Ryzen 7,16,512,RTX 3050,16.0,11,117000
HP,Intel i7,32,512,RTX 4070,15.6,8,159000
MSI,Intel i7,32,256,Integrated,14.0,5,124000
Dell,Ryzen 3,8,1024,RTX 4060,17.0,4,86000
Acer,Ryzen 3,8,256,RTX 4070,14.0,7,76000
Apple,Ryzen 9,4,256,Integrated,17.0,4,118000
Asus,Intel i7,8,512,Integrated,15.6,12,81000
Asus,Intel i5,8,1024,RTX 4060,17.0,10,101000
Lenovo,Ryzen 5,8,2048,RTX 4070,17.0,11,126000
MSI,Ryzen 9,16,1024,RTX 4060,15.6,9,152000
HP,Intel i5,16,2048,Integrated,13.0,10,112000
Dell,Ryzen 9,32,512,RTX 4080,17.0,11,184000
Dell,Ryzen 5,32,512,GTX 1650,13.0,6,129000
Acer,Intel i7,16,2048,RTX 4070,13.0,9,157000
Apple,Ryzen 9,8,512,RTX 3050,13.0,7,151000
Dell,Intel i7,8,256,RTX 4070,17.0,10,106000
Dell,Ryzen 3,4,2048,GTX 1650,16.0,12,88000
MSI,Intel i7,16,512,RTX 4060,15.6,4,122000
HP,Intel i5,4,256,Integrated,13.0,4,53000
MSI,Ryzen 9,4,256,RTX 4070,15.6,7,118000
HP,Intel i5,4,1024,RTX 4070,17.0,7,98000
Asus,Intel i9,32,1024,GTX 1650,15.6,6,174000
Lenovo,Intel i3,8,512,RTX 3050,14.0,11,71000
Lenovo,Intel i5,4,1024,Integrated,16.0,4,68000
Acer,Intel i5,16,2048,GTX 1650,13.0,8,127000
Acer,Ryzen 7,16,512,RTX 4070,15.6,11,127000
HP,Intel i7,32,2048,RTX 3050,17.0,9,179000
Apple,Intel i5,4,512,Integrated,15.6,11,88000
Apple,Intel i3,32,512,RTX 4070,16.0,9,159000
Dell,Intel i9,4,1024,RTX 4060,17.0,6,128000
MSI,Ryzen 9,4,512,RTX 4070,17.0,8,123000
Apple,Ryzen 9,16,512,RTX 4080,15.6,8,182000
Asus,Intel i9,8,256,Integrated,15.6,8,96000
Acer,Intel i7,32,2048,RTX 4060,15.6,6,184000
Lenovo,Ryzen 5,32,256,RTX 4080,17.0,7,144000
Apple,Ryzen 7,32,256,RTX 4070,16.0,6,184000
Lenovo,Ryzen 9,16,512,RTX 4060,14.0,11,142000
Dell,Ryzen 9,32,1024,RTX 4070,14.0,8,189000
Dell,Ryzen 3,8,512,RTX 4090,16.0,8,91000
Dell,Ryzen 9,16,256,RTX 4070,15.6,9,142000
HP,Intel i9,16,1024,RTX 3050,15.6,7,147000
HP,Ryzen 7,8,256,Integrated,16.0,9,76000
Dell,Intel i7,32,512,RTX 4070,15.6,8,159000
Lenovo,Ryzen 5,8,1024,RTX 4090,13.0,9,116000
Dell,Intel i7,32,2048,RTX 4060,14.0,11,184000
Acer,Intel i7,8,1024,Integrated,14.0,12,91000
Apple,Ryzen 3,32,2048,RTX 3050,13.0,9,179000
Lenovo,Ryzen 3,8,2048,GTX 1650,15.6,4,96000
Asus,Ryzen 3,32,512,GTX 1650,17.0,6,114000
HP,Intel i5,16,2048,RTX 4060,17.0,6,137000
Acer,Intel i9,16,256,RTX 4070,13.0,7,142000
Acer,Ryzen 7,32,2048,RTX 4080,14.0,12,194000
Apple,Intel i9,32,256,GTX 1650,14.0,9,189000
HP,Ryzen 3,32,256,GTX 1650,15.6,10,109000
Asus,Ryzen 7,32,2048,RTX 4090,15.6,8,199000
Dell,Intel i7,4,512,RTX 4080,13.0,11,108000
Lenovo,Ryzen 9,8,256,RTX 4060,13.0,8,121000
Acer,Intel i3,8,512,GTX 1650,16.0,8,66000
HP,Ryzen 3,16,2048,Integrated,13.0,4,97000
Lenovo,Intel i9,8,512,RTX 4060,16.0,12,126000
Dell,Ryzen 3,32,2048,RTX 3050,13.0,7,149000
Dell,Ryzen 5,8,2048,GTX 1650,17.0,11,111000
Lenovo,Intel i9,4,256,RTX 4060,16.0,9,113000
Lenovo,Intel i3,32,2048,RTX 4090,14.0,11,169000
MSI,Ryzen 9,32,256,RTX 4080,16.0,4,179000
MSI,Ryzen 7,16,512,GTX 1650,16.0,10,112000
MSI,Ryzen 9,4,1024,RTX 4060,16.0,12,128000
MSI,Ryzen 9,8,512,GTX 1650,13.0,12,116000
Asus,Intel i7,8,2048,RTX 4090,16.0,12,151000
Asus,Intel i5,8,512,RTX 3050,15.6,12,86000
Dell,Intel i3,4,512,Integrated,17.0,7,43000
Acer,Intel i5,16,512,RTX 4070,15.6,11,112000
Lenovo,Ryzen 3,4,2048,RTX 4070,17.0,11,103000
Asus,Ryzen 9,8,2048,GTX 1650,14.0,5,146000
HP,Ryzen 3,4,512,RTX 3050,13.0,10,63000
Acer,Ryzen 7,8,2048,RTX 4090,15.6,11,151000
Asus,Intel i3,16,1024,RTX 4090,14.0,9,117000
Dell,Intel i3,16,2048,RTX 4070,13.0,4,127000
Apple,Intel i5,16,256,GTX 1650,17.0,9,122000
Asus,Ryzen 3,8,2048,GTX 1650,17.0,7,96000
Apple,Ryzen 9,8,512,RTX 4090,13.0,8,171000
Asus,Ryzen 5,32,256,RTX 4060,15.6,10,134000
Dell,Ryzen 9,16,512,RTX 4060,13.0,11,142000
Lenovo,Intel i7,8,256,GTX 1650,14.0,5,91000
HP,Ryzen 5,4,2048,GTX 1650,13.0,4,103000
Lenovo,Intel i5,4,2048,RTX 4060,16.0,11,113000
MSI,Intel i7,4,2048,RTX 4080,16.0,4,138000
Apple,Intel i3,16,512,RTX 4060,17.0,7,122000
Acer,Ryzen 9,16,2048,RTX 4060,13.0,6,172000
Apple,Ryzen 9,8,256,RTX 4060,17.0,11,151000
Acer,Ryzen 3,32,2048,RTX 4060,14.0,9,154000
HP,Ryzen 3,16,2048,RTX 4080,17.0,9,132000
Dell,Ryzen 3,8,512,RTX 4090,17.0,11,91000
Apple,Intel i7,8,1024,RTX 3050,15.6,11,141000
Asus,Intel i7,16,256,Integrated,15.6,7,92000
Dell,Intel i5,16,512,RTX 3050,16.0,12,102000
MSI,Ryzen 3,4,256,RTX 3050,17.0,4,58000
Apple,Intel i3,4,1024,Integrated,16.0,7,83000
HP,Ryzen 9,16,2048,RTX 4080,17.0,6,182000
Asus,Intel i3,8,2048,GTX 1650,17.0,4,96000
Lenovo,Ryzen 3,16,1024,GTX 1650,14.0,7,92000
MSI,Ryzen 3,16,1024,GTX 1650,16.0,9,92000
HP,Ryzen 3,8,512,RTX 3050,16.0,5,71000
MSI,Ryzen 9,16,1024,Integrated,16.0,4,127000
Asus,Ryzen 9,4,512,RTX 4090,17.0,8,133000
Asus,Ryzen 7,8,512,RTX 4080,16.0,9,116000
Asus,Ryzen 5,4,1024,Integrated,16.0,11,68000
MSI,Intel i7,32,1024,RTX 4070,16.0,6,169000
HP,Ryzen 9,8,512,RTX 4080,14.0,6,136000
MSI,Intel i3,8,256,RTX 4090,16.0,8,86000
Dell,Ryzen 5,4,2048,RTX 4090,16.0,6,128000
HP,Ryzen 9,32,256,RTX 4080,16.0,11,179000
MSI,Intel i9,16,2048,RTX 3050,15.6,11,167000
MSI,Ryzen 9,16,256,GTX 1650,17.0,5,127000
Dell,Intel i7,4,1024,RTX 4060,13.0,11,108000
Asus,Ryzen 9,8,1024,GTX 1650,16.0,12,126000
MSI,Intel i7,8,512,RTX 4090,16.0,5,121000
MSI,Intel i5,8,512,GTX 1650,17.0,6,81000
Acer,Intel i3,4,1024,RTX 4070,13.0,5,83000
HP,Intel i9,32,512,RTX 3050,15.6,9,169000
Apple,Intel i5,4,512,RTX 4070,15.6,10,118000
Asus,Intel i3,16,256,RTX 3050,17.0,4,82000
HP,Intel i5,16,1024,RTX 3050,15.6,12,112000
Apple,Intel i7,32,1024,RTX 4080,17.0,11,204000
Acer,Ryzen 9,4,1024,Integrated,13.0,11,103000
Asus,Ryzen 3,16,2048,RTX 4090,14.0,11,137000
Apple,Intel i5,8,512,RTX 3050,15.6,5,116000
Apple,Ryzen 3,8,512,RTX 3050,16.0,10,101000
HP,Intel i9,8,2048,GTX 1650,16.0,7,146000
Lenovo,Ryzen 5,16,1024,RTX 4060,13.0,6,117000
Asus,Intel i3,8,1024,RTX 4060,14.0,10,86000
HP,Ryzen 5,16,512,RTX 4060,15.6,10,107000
Dell,Intel i5,32,1024,Integrated,16.0,11,124000
Apple,Ryzen 7,32,256,RTX 3050,15.6,12,174000
Acer,Ryzen 7,8,2048,RTX 3050,15.6,11,131000
HP,Intel i9,8,1024,RTX 4080,16.0,11,146000
